Datetime,Water Level (m)
2023-10-19 18:00:00,1.7999263
2023-10-19 19:00:00,1.8762553
2023-10-19 20:00:00,1.5217698
2023-10-19 21:00:00,0.86860317
2023-10-19 22:00:00,0.109281056
2023-10-19 23:00:00,-0.55982286
2023-10-20 00:00:00,-1.0428174
2023-10-20 01:00:00,-1.2588289
2023-10-20 02:00:00,-1.0762126
2023-10-20 03:00:00,-0.49728644
2023-10-20 04:00:00,0.19165549
2023-10-20 05:00:00,0.7879658
2023-10-20 06:00:00,1.2059631
2023-10-20 07:00:00,1.3356439
2023-10-20 08:00:00,1.0869124
2023-10-20 09:00:00,0.552799
2023-10-20 10:00:00,-0.05710633
2023-10-20 11:00:00,-0.6149232
2023-10-20 12:00:00,-1.0400034
2023-10-20 13:00:00,-1.2255571
2023-10-20 14:00:00,-1.0768679
2023-10-20 15:00:00,-0.61142534
2023-10-20 16:00:00,-0.007875319
2023-10-20 17:00:00,0.61958784
2023-10-20 18:00:00,1.1614597
2023-10-20 19:00:00,1.498441
2023-10-20 20:00:00,1.5288364
2023-10-20 21:00:00,1.2066275
2023-10-20 22:00:00,0.64386344
2023-10-20 23:00:00,0.02464005
2023-10-21 00:00:00,-0.5198213
2023-10-21 01:00:00,-0.89473003
2023-10-21 02:00:00,-1.018844
2023-10-21 03:00:00,-0.7998189
2023-10-21 04:00:00,-0.33555576
2023-10-21 05:00:00,0.16796745
2023-10-21 06:00:00,0.6207154
2023-10-21 07:00:00,0.94380796
2023-10-21 08:00:00,1.0315192
2023-10-21 09:00:00,0.86087745
2023-10-21 10:00:00,0.47884065
2023-10-21 11:00:00,0.00034126898
2023-10-21 12:00:00,-0.4629613
2023-10-21 13:00:00,-0.8201388
2023-10-21 14:00:00,-0.99632484
2023-10-21 15:00:00,-0.9069423
2023-10-21 16:00:00,-0.51548445
2023-10-21 17:00:00,0.022443315
2023-10-21 18:00:00,0.55755854
2023-10-21 19:00:00,1.0087955
2023-10-21 20:00:00,1.2872068
2023-10-21 21:00:00,1.3053839
2023-10-21 22:00:00,1.0331813
2023-10-21 23:00:00,0.58111763
2023-10-22 00:00:00,0.0869914
2023-10-22 01:00:00,-0.36385542
2023-10-22 02:00:00,-0.68786675
2023-10-22 03:00:00,-0.8256308
2023-10-22 04:00:00,-0.7448957
2023-10-22 05:00:00,-0.4569217
2023-10-22 06:00:00,-0.051953673
2023-10-22 07:00:00,0.36415336
2023-10-22 08:00:00,0.7131814
2023-10-22 09:00:00,0.9197579
2023-10-22 10:00:00,0.90969926
2023-10-22 11:00:00,0.65852845
2023-10-22 12:00:00,0.25231153
2023-10-22 13:00:00,-0.1719458
2023-10-22 14:00:00,-0.5400965
2023-10-22 15:00:00,-0.7848066
2023-10-22 16:00:00,-0.8149444
2023-10-22 17:00:00,-0.56415683
2023-10-22 18:00:00,-0.14202753
2023-10-22 19:00:00,0.3197131
2023-10-22 20:00:00,0.7663366
2023-10-22 21:00:00,1.109631
2023-10-22 22:00:00,1.2543772
2023-10-22 23:00:00,1.1452749
2023-10-23 00:00:00,0.81668484
2023-10-23 01:00:00,0.36730134
2023-10-23 02:00:00,-0.10601402
2023-10-23 03:00:00,-0.50707656
2023-10-23 04:00:00,-0.77278274
2023-10-23 05:00:00,-0.8616985
2023-10-23 06:00:00,-0.71196127
2023-10-23 07:00:00,-0.36623245
2023-10-23 08:00:00,0.0791059
2023-10-23 09:00:00,0.54867464
2023-10-23 10:00:00,0.9480362
2023-10-23 11:00:00,1.1384354
2023-10-23 12:00:00,1.0483541
2023-10-23 13:00:00,0.7207393
2023-10-23 14:00:00,0.2599631
2023-10-23 15:00:00,-0.21675825
2023-10-23 16:00:00,-0.6051392
2023-10-23 17:00:00,-0.8142917
2023-10-23 18:00:00,-0.7702605
2023-10-23 19:00:00,-0.45629779
2023-10-23 20:00:00,0.025166448
2023-10-23 21:00:00,0.56391245
2023-10-23 22:00:00,1.064798
2023-10-23 23:00:00,1.4029695
2023-10-24 00:00:00,1.4896169
2023-10-24 01:00:00,1.2391316
2023-10-24 02:00:00,0.7446611
2023-10-24 03:00:00,0.17989986
2023-10-24 04:00:00,-0.37006485
2023-10-24 05:00:00,-0.8074096
2023-10-24 06:00:00,-1.0548596
2023-10-24 07:00:00,-1.0245708
2023-10-24 08:00:00,-0.6841689
2023-10-24 09:00:00,-0.12291499
2023-10-24 10:00:00,0.5155245
2023-10-24 11:00:00,1.0924534
2023-10-24 12:00:00,1.449638
2023-10-24 13:00:00,1.4777982
2023-10-24 14:00:00,1.1550586
2023-10-24 15:00:00,0.58832234
2023-10-24 16:00:00,-0.035242748
2023-10-24 17:00:00,-0.58803046
2023-10-24 18:00:00,-0.98398715
2023-10-24 19:00:00,-1.1219163
2023-10-24 20:00:00,-0.8703415
2023-10-24 21:00:00,-0.3008034
2023-10-24 22:00:00,0.4005044
2023-10-24 23:00:00,1.0954983
2023-10-25 00:00:00,1.6086113
2023-10-25 01:00:00,1.7789512
2023-10-25 02:00:00,1.5479277
2023-10-25 03:00:00,0.9877798
2023-10-25 04:00:00,0.27120632
2023-10-25 05:00:00,-0.43891695
2023-10-25 06:00:00,-1.0160146
2023-10-25 07:00:00,-1.3853602
2023-10-25 08:00:00,-1.4167783
2023-10-25 09:00:00,-0.9702976
2023-10-25 10:00:00,-0.20271038
2023-10-25 11:00:00,0.62373805
2023-10-25 12:00:00,1.3475887
2023-10-25 13:00:00,1.7856013
2023-10-25 14:00:00,1.8048455
2023-10-25 15:00:00,1.3971982
2023-10-25 16:00:00,0.70035386
2023-10-25 17:00:00,-0.062363695
2023-10-25 18:00:00,-0.7460133
